,pos,athlete,country,points,data_type,100,lj,sp,hj,400,110h,dt,pv,jt,1500,event_id,event_name,1500_sec,100_speed,110h_speed,400_speed,1500_speed
359,1.0,Erki Nool,EST,8641,Mark,10.68,7.76,15.11,2.0,46.71,14.48,43.66,5.0,65.82,4:29.48,6951910.0,og_2000,269.48,9.363295880149813,7.596685082872928,8.563476771569256,5.5662757904111615
360,2.0,Roman Šebrle,CZE,8606,Mark,10.92,7.62,15.22,2.12,48.2,13.87,44.39,4.8,64.04,4:28.79,6951910.0,og_2000,268.79,9.157509157509157,7.930785868781543,8.29875518672199,5.580564753153019
361,3.0,Chris Huffins,USA,8595 SB,Mark,10.48,7.71,15.27,2.09,48.31,13.91,49.55,4.7,56.62,4:38.71,6951910.0,og_2000,278.71,9.541984732824426,7.907979870596693,8.27985924239288,5.3819382153492885
362,4.0,Dean Macey,GBR,8567 PB,Mark,10.81,7.77,14.62,2.09,46.41,14.53,43.37,4.8,60.38,4:23.45,6951910.0,og_2000,263.45,9.250693802035153,7.570543702684102,8.618832148243914,5.693680015183147
363,5.0,Tom Pappas,USA,8425,Mark,10.82,7.41,14.87,2.21,48.64,14.15,41.42,4.9,62.26,4:45.10,6951910.0,og_2000,285.1,9.242144177449168,7.773851590106007,8.223684210526315,5.26131182041389
364,6.0,Tomáš Dvořák,CZE,8385,Mark,10.91,7.5,15.91,1.97,49.11,14.34,47.15,4.4,69.94,4:32.23,6951910.0,og_2000,272.23,9.165902841429881,7.670850767085077,8.144980655670944,5.5100466517283175
365,7.0,Frank Busemann,GER,8351,Mark,10.91,7.64,14.52,2.09,48.97,14.16,33.71,5.0,64.91,4:25.32,6951910.0,og_2000,265.32,9.165902841429881,7.768361581920904,8.168266285480907,5.653550429669833
366,8.0,Attila Zsivoczky-Pandel,HUN,8277,Mark,11.1,7.0,14.96,2.06,48.61,15.27,47.43,4.8,65.87,4:23.37,6951910.0,og_2000,263.37,9.00900900900901,7.203667321545514,8.228759514503189,5.695409499943046
367,9.0,Stefan Schmid,GER,8206,Mark,10.94,7.17,14.04,2.0,48.61,14.38,40.81,5.0,67.03,4:36.49,6951910.0,og_2000,276.49,9.140767824497258,7.649513212795549,8.228759514503189,5.425151000036167
368,10.0,Henrik Dagård,SWE,8178 SB,Mark,10.84,7.08,14.97,1.94,48.75,14.3,42.95,5.1,65.05,4:49.51,6951910.0,og_2000,289.51,9.22509225092251,7.692307692307692,8.205128205128204,5.181168180719146
369,11.0,Zsolt Kürtösi,HUN,8149 PB,Mark,11.0,7.19,15.13,2.0,48.81,14.15,46.62,4.8,57.16,4:43.39,6951910.0,og_2000,283.39,9.090909090909092,7.773851590106007,8.195041999590247,5.2930590352517735
370,12.0,Mário Aníbal,POR,8136 NR,Mark,10.97,6.9,15.39,2.03,48.71,14.71,45.01,4.9,57.51,4:32.68,6951910.0,og_2000,272.68,9.115770282588878,7.477906186267845,8.21186614658181,5.500953498606425
371,13.0,Lev Lobodin,RUS,8071,Mark,10.75,7.18,15.75,1.94,48.87,14.02,44.55,5.0,50.16,4:50.73,6951910.0,og_2000,290.73,9.30232558139535,7.845934379457917,8.18498056067117,5.1594262717985755
372,14.0,Jiří Ryba,CZE,8056,Mark,11.14,7.1,14.21,2.0,48.97,14.99,42.83,4.9,57.76,4:18.21,6951910.0,og_2000,258.21,8.976660682226212,7.33822548365577,8.168266285480907,5.809225049378413
373,15.0,Raúl Duany Bueno,CUB,8054,Mark,11.09,7.33,13.34,2.06,49.73,14.44,41.17,4.6,64.31,4:29.68,6951910.0,og_2000,269.68,9.017132551848512,7.617728531855956,8.043434546551378,5.5621477306437255
374,16.0,Oleksandr Yurkov,UKR,7993,Mark,10.89,6.68,14.78,1.97,48.66,15.02,48.67,5.0,54.77,4:39.94,6951910.0,og_2000,279.94,9.182736455463727,7.323568575233023,8.220304151253597,5.358291062370508
375,17.0,Indrek Kaseorg,EST,7932,Mark,11.31,7.22,13.26,1.97,50.03,14.57,41.98,4.8,66.54,4:35.64,6951910.0,og_2000,275.64,8.841732979664014,7.549759780370624,7.995202878273036,5.44188071397475
376,18.0,Klaus Ambrosch,AUT,7917,Mark,11.01,7.17,15.3,1.91,50.23,14.92,41.22,4.6,67.94,4:40.94,6951910.0,og_2000,280.94,9.082652134423252,7.372654155495979,7.963368504877564,5.339218338435253
377,19.0,Laurent Hernu,FRA,7909,Mark,11.19,7.14,13.54,2.06,50.63,14.51,41.78,5.0,56.34,4:37.82,6951910.0,og_2000,277.82,8.936550491510278,7.580978635423846,7.900454276120876,5.399179324742639
378,20.0,Wilfrid Boulineau,FRA,7821,Mark,11.07,7.08,13.38,2.03,49.82,15.02,39.86,4.8,59.69,4:35.59,6951910.0,og_2000,275.59000000000003,9.033423667570009,7.323568575233023,8.028904054596547,5.4428680285932
379,21.0,Kip Janvrin,USA,7726,Mark,11.26,6.63,13.57,1.85,49.12,15.15,42.2,5.0,56.84,4:17.81,6951910.0,og_2000,257.81,8.880994671403197,7.260726072607261,8.143322475570033,5.8182382374616965
380,22.0,Volodymyr Mykhaylenko,UKR,7676,Mark,11.1,7.04,13.53,2.06,48.8,14.84,40.45,4.6,47.27,4:36.23,6951910.0,og_2000,276.23,9.00900900900901,7.412398921832884,8.196721311475411,5.430257394200485
381,23.0,Fedir Laukhin,UKR,7652,Mark,11.21,7.01,13.16,2.03,49.64,15.16,38.33,4.9,55.53,4:41.48,6951910.0,og_2000,281.48,8.920606601248885,7.255936675461741,8.058017727639001,5.328975415660082
382,24.0,Eduard Hämäläinen,FIN,7520,Mark,11.01,7.19,14.06,1.85,48.14,14.37,35.98,4.8,47.11,4:54.18,6951910.0,og_2000,294.18,9.082652134423252,7.654836464857342,8.309098462816785,5.098919029165817
397,1.0,Roman Šebrle,CZE,8893 OR,Mark,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5.0,70.52,4:40.01,6913163.0,og_2004,280.01,9.216589861751153,7.829181494661921,8.271298593879239,5.356951537445092
398,2.0,Bryan Clay,USA,8820 PB,Mark,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,4:41.65,6913163.0,og_2004,281.65,9.578544061302683,7.78485491861288,8.131734092295183,5.325758920646193
399,3.0,Dmitriy Karpov,KAZ,8725 AR,Mark,10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,4:38.11,6913163.0,og_2004,278.11,9.523809523809524,7.874015748031495,8.545182653279213,5.393549315019237
400,4.0,Dean Macey,GBR,8414 SB,Mark,10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,4:25.42,6913163.0,og_2004,265.42,9.182736455463727,7.554945054945055,8.168266285480907,5.651420390324768
401,5.0,Chiel Warners,NED,8343 SB,Mark,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,4:38.05,6913163.0,og_2004,278.05,9.416195856873824,7.851534618129907,8.338544923910778,5.394713181082539
402,6.0,Attila Zsivoczky-Pandel,HUN,8287 SB,Mark,10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,4:29.54,6913163.0,og_2004,269.54,9.165902841429881,7.357859531772576,8.097165991902834,5.565036729242412
403,7.0,Laurent Hernu,FRA,8237 SB,Mark,10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,4:24.35,6913163.0,og_2004,264.35,9.115770282588878,7.719298245614035,8.208495793145907,5.674295441649328
404,8.0,Erki Nool,EST,8235,Mark,10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,4:36.33,6913163.0,og_2004,276.33,9.25925925925926,7.4324324324324325,8.195041999590247,5.4282922592552385
405,9.0,Claston Bernard,JAM,8225 NR,Mark,10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,4:36.31,6913163.0,og_2004,276.31,9.354536950420954,7.76287932251235,8.141664970486463,5.428685172451233
406,10.0,Roland Schwarzl,AUT,8102 PB,Mark,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,4:33.56,6913163.0,og_2004,273.56,9.107468123861565,7.719298245614035,8.038585209003216,5.483257786226057
407,11.0,Aleksandr Pogorelov,RUS,8084 SB,Mark,10.95,7.31,15.1,2.06,50.79,14.21,44.6,5.0,53.45,4:47.63,6913163.0,og_2004,287.63,9.132420091324201,7.741027445460943,7.875566056310298,5.215033202378055
408,12.0,Florian Schönbeck,GER,8077,Mark,10.9,7.3,14.77,1.88,50.3,14.34,44.41,5.0,60.89,4:38.82,6913163.0,og_2004,278.82,9.174311926605505,7.670850767085077,7.952286282306163,5.379814934366258
409,13.0,Romain Barras,FRA,8067 SB,Mark,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,4:27.09,6913163.0,og_2004,267.09,8.976660682226212,7.654836464857342,8.095527221210283,5.616084465910368
410,14.0,Maurice Smith,JAM,8023,Mark,10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,4:32.74,6913163.0,og_2004,272.74,9.216589861751153,7.851534618129907,8.11853054597118,5.499743345310552
411,15.0,Nikolay Averyanov,RUS,8021,Mark,10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,4:31.02,6913163.0,og_2004,271.02,9.47867298578199,7.644197359277276,8.045052292839904,5.534646889528449
412,16.0,Jaakko Ojaniemi,FIN,8006 SB,Mark,10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,4:35.71,6913163.0,og_2004,275.71,9.363295880149813,7.328447701532312,8.143322475570033,5.440499075115158
